Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
1/1980,129.600,212.600,120.100,60.800,,109.000,211.100,206.500,22.700,103.300,118.300,144.500,,190.300,86.500,55.100,115.100,59.200,117.200,60.800,121.500,
2/1980,94.500,125.200,64.200,84.500,40.500,103.700,86.100,91.300,33.300,56.500,125.400,74.600,,91.400,95.500,,73.700,34.200,80.400,57.300,55.400,
3/1980,99.900,166.600,91.100,168.400,77.900,149.200,135.700,149.500,129.500,221.700,139.700,160.800,,253.200,176.500,,245.500,,108.000,258.400,114.400,
4/1980,21.500,28.000,9.000,8.100,2.200,11.800,16.300,35.800,0.500,2.900,31.300,61.100,,3.400,5.000,,10.400,,4.900,18.500,15.200,
5/1980,26.500,19.000,5.700,4.900,0.000,11.200,15.700,13.300,0.700,6.000,7.100,3.500,,2.400,5.900,0.000,2.500,,9.100,1.300,11.900,
6/1980,0.000,0.000,0.000,0.000,,0.000,1.400,0.000,0.000,0.400,0.200,1.800,,1.400,0.000,0.000,0.200,,0.400,0.100,3.000,
7/1980,1.700,25.100,5.300,1.000,0.000,1.300,12.300,0.000,11.300,0.000,5.700,25.200,,11.900,0.000,0.000,3.900,,2.300,4.900,15.300,
8/1980,10.400,50.400,3.600,32.700,9.000,2.400,16.300,3.700,2.000,21.500,9.800,30.200,,33.700,15.500,,5.900,,0.000,13.500,4.600,
9/1980,36.700,85.600,29.400,38.600,16.700,4.800,52.700,92.500,22.700,27.800,74.700,86.900,,101.000,80.000,,21.300,,6.100,66.100,52.900,
10/1980,60.800,71.700,77.900,51.700,,57.200,102.400,109.500,83.500,43.600,91.200,91.000,,49.200,65.000,,89.300,,77.400,72.800,91.700,
11/1980,42.600,53.800,10.100,57.000,,64.200,40.000,22.600,9.600,12.200,26.300,12.400,,26.200,73.500,,28.600,,12.300,25.800,33.800,
12/1980,81.700,60.400,56.900,46.300,,105.800,66.500,65.400,30.100,53.400,85.100,168.700,,,54.000,,41.400,,81.300,34.900,57.400,
1/1981,186.500,172.200,112.500,124.700,,174.300,198.500,151.800,224.200,216.800,326.000,324.900,,,190.500,,204.000,,147.100,,236.000,
2/1981,115.500,135.900,104.900,148.800,,176.000,187.900,218.000,165.100,179.100,103.600,162.300,,,145.500,,212.500,,101.100,207.300,90.500,
3/1981,182.000,219.700,92.300,161.200,,144.600,62.400,221.900,113.500,118.000,114.600,103.700,,,136.100,,159.700,,102.700,111.300,92.500,
4/1981,25.400,80.100,45.000,47.900,,77.000,97.300,87.100,40.000,109.700,83.000,79.000,,,48.500,,77.900,,52.000,71.900,77.800,
5/1981,10.100,4.000,5.600,0.000,,7.600,4.300,2.300,0.000,3.100,14.700,9.800,,,0.000,8.200,1.400,,1.900,4.700,3.300,
6/1981,4.100,0.100,4.000,0.000,,3.100,4.200,4.300,0.000,0.000,0.100,1.000,,,0.000,0.000,0.000,,0.000,0.000,5.700,
7/1981,0.000,0.000,0.000,1.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,,0.000,0.000,0.000,
8/1981,26.000,65.100,26.900,22.200,,11.600,22.500,6.200,17.800,19.900,21.800,41.100,,,28.000,27.000,39.700,,13.200,37.800,15.900,
9/1981,46.500,8.800,27.700,10.000,,31.000,69.000,68.600,0.100,32.000,33.600,52.100,,,46.500,0.000,3.800,,32.900,21.100,33.900,
10/1981,73.100,83.900,65.400,18.600,,77.400,98.900,79.600,7.600,46.800,106.200,121.300,,,33.900,4.000,23.000,,65.300,25.600,83.400,
11/1981,78.400,89.400,36.400,36.700,,41.500,36.100,104.300,25.800,41.000,45.800,50.700,,,56.500,13.000,59.400,,72.800,49.000,48.300,
12/1981,121.600,170.800,100.700,26.700,,106.800,138.700,166.700,89.400,129.900,106.600,118.500,,,173.500,111.000,159.100,,109.900,129.000,107.200,
1/1982,190.300,167.200,100.700,49.900,,148.300,170.200,156.700,235.700,308.400,163.000,298.800,,,166.500,174.000,168.200,,191.700,232.100,236.400,
2/1982,75.900,44.600,101.100,44.200,,91.700,46.000,111.100,63.700,91.200,35.200,61.200,,,101.500,58.000,81.800,,53.900,83.500,109.900,
3/1982,114.900,141.400,38.800,51.800,,101.100,145.500,77.100,211.200,63.000,112.800,107.400,,,140.000,114.000,139.800,,95.500,99.700,99.500,
4/1982,92.700,63.300,58.500,24.400,,82.200,72.700,33.400,36.800,66.400,58.000,67.600,,,148.500,15.600,51.700,,20.300,75.000,73.800,
5/1982,2.800,0.400,,5.000,,0.000,8.300,5.800,0.000,0.000,1.200,3.000,,,0.000,2.700,5.200,,0.000,2.600,0.000,
6/1982,5.500,0.000,,1.000,,2.000,0.000,7.600,0.000,0.500,1.200,0.300,,,2.500,0.000,0.500,,0.000,5.200,0.000,
7/1982,0.000,0.000,,2.500,,0.000,0.000,0.000,0.000,0.000,0.000,1.600,,,0.000,6.400,0.000,,0.000,1.900,0.800,
8/1982,15.000,1.800,7.000,4.000,,0.000,13.500,7.100,,7.000,4.200,8.500,,,6.500,0.000,1.400,,0.800,0.000,12.900,
9/1982,40.200,67.100,,48.200,,27.000,68.500,12.800,,72.900,13.600,105.800,,,77.500,17.700,31.000,,15.800,52.900,59.300,
10/1982,55.600,93.400,28.500,61.000,,95.000,72.100,44.700,40.800,95.000,39.200,74.700,,,48.200,70.000,68.400,,53.600,114.400,43.000,
11/1982,82.900,110.500,,35.500,,154.200,139.300,135.800,79.900,67.800,126.200,96.400,,,131.000,47.000,145.400,,111.300,103.000,123.100,
12/1982,83.600,69.400,39.100,23.000,,67.900,72.000,90.800,9.700,14.100,48.200,45.400,,,39.500,14.000,28.700,,47.800,24.500,65.500,
1/1983,82.100,52.800,,26.000,,51.400,97.500,27.200,40.500,37.900,102.400,84.100,,,23.000,31.400,83.600,,82.600,20.700,104.600,
2/1983,111.500,106.500,,,,58.100,123.200,154.300,28.300,72.600,48.400,118.800,,,281.400,49.200,53.000,,57.800,70.400,81.100,
3/1983,49.000,64.000,,7.500,,60.600,87.000,105.600,42.000,7.900,24.400,55.500,,,24.500,6.500,53.800,,73.400,57.600,44.400,
4/1983,68.100,46.600,,2.100,,47.600,89.700,113.700,59.700,6.600,37.200,87.600,,,13.000,40.800,50.600,,27.000,55.500,65.100,
5/1983,16.900,0.000,,1.500,,2.400,12.300,14.200,0.000,3.800,13.800,37.000,,,8.500,5.600,20.700,,6.000,14.200,10.400,
6/1983,26.400,0.000,,2.800,,0.000,0.000,5.800,0.000,4.100,1.000,5.900,,,4.500,0.000,3.300,,0.000,2.300,2.000,
7/1983,0.000,0.000,,0.000,,0.000,0.000,0.000,0.000,2.500,0.000,0.000,,,0.000,0.000,0.000,,0.000,1.500,5.600,
8/1983,0.000,0.000,,3.000,,0.000,7.000,1.800,0.000,11.500,2.600,2.000,,,4.500,0.400,1.000,,0.000,4.800,1.600,
9/1983,14.800,35.700,,6.500,,15.500,29.500,29.800,20.800,17.200,17.500,72.900,,,32.500,15.800,16.200,,0.000,46.400,16.800,
10/1983,22.300,36.400,,15.000,,21.300,60.000,31.400,0.000,4.700,7.000,60.100,,,44.000,9.900,16.800,,7.800,26.700,6.700,
11/1983,19.500,18.700,,30.500,,24.500,14.700,39.300,0.000,24.500,53.800,23.300,,,26.500,0.200,2.900,,36.700,29.800,36.200,
12/1983,76.700,74.300,,69.000,,88.300,55.300,92.600,39.500,181.000,84.800,60.100,,,43.500,16.600,86.100,,63.100,104.200,99.200,
1/1984,158.400,200.900,,212.800,,220.300,294.900,397.300,174.400,424.100,24.600,376.600,242.400,,392.200,241.500,259.100,,108.700,318.900,291.600,
2/1984,161.300,160.300,,237.100,,175.400,227.000,228.300,218.400,285.200,166.700,299.700,284.300,,306.100,314.000,254.300,,37.900,330.100,217.300,
3/1984,138.800,294.600,,126.000,,139.900,62.800,124.400,180.800,229.900,125.400,142.700,179.800,,164.100,238.000,205.300,,,223.000,98.300,
4/1984,29.000,38.800,,33.500,,30.500,57.200,71.800,11.300,38.300,38.800,26.500,28.500,,83.000,0.000,22.100,,,44.400,34.600,
5/1984,0.000,17.300,,21.400,,20.900,0.000,9.100,9.600,46.900,14.200,31.800,16.600,,21.000,0.000,11.600,,,18.300,6.800,
6/1984,0.000,1.500,,0.000,,0.000,16.000,3.800,1.300,21.700,9.600,32.100,9.200,,0.000,3.600,0.800,,,4.200,5.300,
7/1984,10.800,0.000,,3.000,0.000,1.300,13.700,4.000,3.100,0.000,0.000,1.200,3.000,,0.000,0.000,0.900,,,3.700,2.200,
8/1984,43.100,0.000,,9.000,0.000,0.700,47.500,33.900,6.400,1.700,17.800,43.100,12.600,,13.000,0.000,23.400,,,25.500,22.500,
9/1984,7.000,0.000,0.800,7.500,0.000,2.700,10.800,17.000,0.300,0.000,1.400,2.800,1.000,,0.000,0.000,0.000,,,0.000,0.600,
10/1984,59.800,74.600,78.300,41.500,39.200,120.600,51.300,105.200,89.500,70.600,72.200,46.800,94.400,,137.300,59.200,105.300,,,157.500,81.800,
11/1984,123.700,171.300,238.800,89.400,81.900,124.100,121.700,129.200,135.700,89.800,113.400,134.400,73.900,,240.300,117.000,141.800,,,68.800,110.500,
12/1984,129.500,159.100,167.100,71.500,78.000,180.100,132.800,141.500,84.100,79.800,76.400,136.600,45.800,,263.700,25.800,166.800,,,96.200,108.100,
