Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
5/1989,31.400,3.900,,0.000,0.000,3.600,5.900,13.100,6.200,1.300,1.900,24.800,0.300,16.400,0.500,0.000,5.000,13.400,7.000,0.000,0.000,11.400
6/1989,0.000,0.000,,1.400,,0.700,7.100,25.400,4.000,0.000,7.000,13.500,3.900,3.800,2.600,0.000,10.200,1.700,4.700,0.400,7.500,22.000
7/1989,0.000,11.700,,0.000,,0.700,3.100,0.000,11.800,19.800,1.100,3.000,7.800,6.300,0.800,0.000,1.200,7.800,0.000,1.700,0.000,0.400
8/1989,41.500,9.200,,4.800,,40.100,34.900,25.500,3.700,3.600,14.700,39.000,9.600,13.300,4.900,0.000,5.400,0.000,27.000,14.700,9.000,45.100
9/1989,29.100,50.200,,6.000,,30.900,2.300,46.900,0.000,9.700,15.200,11.700,30.600,18.100,2.600,0.000,2.100,3.000,25.000,17.600,43.300,43.400
10/1989,48.400,24.700,,3.300,31.400,59.800,17.200,60.700,3.700,44.000,21.900,16.000,14.200,3.700,9.100,0.200,12.900,1.300,40.900,14.200,29.600,54.400
11/1989,48.000,27.200,,40.000,66.400,55.900,59.000,79.600,2.400,39.900,67.900,51.900,18.100,,41.900,0.000,48.800,3.000,48.100,21.400,32.400,51.300
12/1989,95.100,35.600,,53.600,123.400,95.500,72.600,109.300,12.700,67.900,83.600,43.600,50.900,58.400,49.700,2.500,78.100,17.800,69.700,42.900,72.900,111.300
1/1990,167.400,113.600,,172.500,215.700,147.500,130.400,156.600,179.100,146.200,121.900,166.600,151.200,199.000,89.700,56.300,160.500,38.100,131.500,167.200,179.000,238.900
2/1990,82.500,84.400,,23.400,87.000,97.400,40.600,112.800,30.210,86.000,55.600,74.500,39.100,50.800,61.700,35.700,67.100,39.300,75.600,22.400,60.100,195.300
3/1990,22.900,27.300,,49.200,47.900,149.600,66.700,83.800,85.700,87.800,49.400,58.800,61.500,51.400,31.300,44.800,59.900,27.700,36.700,59.900,75.900,186.700
4/1990,46.700,19.900,,13.500,94.600,68.300,52.200,55.600,41.700,60.100,21.200,63.800,48.900,47.700,18.900,2.500,36.800,7.900,33.500,43.000,25.700,62.900
5/1990,8.300,7.000,,2.400,11.200,8.800,5.500,0.000,15.900,8.600,12.800,9.000,25.000,13.600,13.900,16.900,7.100,0.000,0.000,12.100,5.800,8.100
6/1990,49.700,72.800,,34.300,40.800,48.100,63.000,48.200,45.600,69.100,44.900,72.500,67.700,37.300,43.100,27.400,37.500,32.900,21.600,54.700,61.000,31.700
7/1990,3.200,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.600,0.000,0.000,0.000,0.000,0.000,0.400
8/1990,24.500,5.500,,9.800,31.500,0.200,13.100,3.700,12.500,31.800,35.900,22.700,15.500,18.900,9.000,16.900,7.500,0.000,5.400,11.800,1.800,3.000
9/1990,8.100,19.500,,1.000,12.300,9.800,16.900,31.300,0.000,6.800,25.600,25.700,7.400,19.900,2.900,2.200,4.100,4.500,19.000,10.100,17.300,4.800
10/1990,73.600,105.900,,112.800,74.500,136.100,74.300,106.900,,39.500,52.100,110.100,65.900,69.300,92.700,43.700,93.500,43.500,84.000,107.900,109.000,73.800
11/1990,70.700,47.000,,130.000,54.700,70.400,95.500,185.100,91.800,125.700,98.100,125.900,101.200,64.300,96.700,4.100,116.700,67.200,77.600,94.500,84.000,44.600
12/1990,119.500,114.200,,101.900,159.900,78.400,73.600,81.900,82.600,135.700,98.600,102.300,127.800,173.700,91.800,32.400,91.400,118.300,18.000,63.200,114.200,166.500
1/1991,104.800,148.900,,106.400,122.700,191.400,120.200,125.500,135.520,105.900,123.400,117.500,74.200,147.100,138.700,78.700,205.600,99.700,154.300,124.100,164.800,142.600
2/1991,66.600,96.100,,144.100,113.100,61.400,96.800,80.800,81.010,72.700,137.700,181.700,75.200,101.800,107.000,77.300,119.300,86.100,73.700,67.700,106.100,106.500
3/1991,78.400,117.400,,115.200,227.600,118.000,108.100,176.500,138.300,117.100,138.000,184.500,115.100,152.800,90.500,,146.200,204.600,105.100,185.800,134.900,143.400
4/1991,60.200,31.000,,70.100,,30.100,36.600,59.800,7.420,33.700,9.200,39.400,50.600,70.800,38.200,,58.300,54.200,40.900,46.200,51.000,42.700
5/1991,26.000,11.500,,5.800,,28.000,19.600,49.500,1.700,8.200,20.100,31.700,20.000,10.100,23.500,,5.800,0.000,0.000,6.800,5.700,30.200
6/1991,31.400,59.600,,35.600,38.000,39.100,40.300,30.500,27.200,38.500,51.100,60.500,43.400,31.500,40.000,,31.100,38.700,0.000,33.600,45.000,29.600
7/1991,0.000,1.800,,0.000,0.500,0.000,0.000,0.000,0.000,2.000,1.000,0.000,6.400,3.800,0.800,,3.100,0.000,0.000,0.000,9.800,0.000
8/1991,0.000,2.300,,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.700,7.600,4.000,0.600,0.000,0.000,0.000,0.000,0.000,3.000,0.800,0.000
9/1991,26.600,16.000,,6.300,11.500,1.000,18.500,72.900,2.100,0.800,29.400,32.000,14.200,11.800,8.500,0.000,18.600,0.000,6.000,14.700,14.900,10.900
10/1991,35.400,37.600,,13.800,62.500,48.300,31.300,43.100,16.900,21.200,14.100,15.300,45.500,49.800,59.400,,29.400,4.800,28.200,20.400,24.800,63.400
11/1991,51.100,51.800,,27.400,74.500,29.800,53.500,87.300,23.500,40.200,46.100,63.000,17.300,30.900,26.600,0.000,28.600,37.800,25.900,44.200,64.700,26.000
12/1991,52.500,71.700,,59.600,103.000,94.500,76.800,183.900,80.200,48.100,148.200,124.600,63.400,74.000,82.900,0.000,102.400,59.800,131.700,50.300,108.700,101.100
1/1992,74.800,99.600,,106.800,157.700,109.800,171.700,279.100,74.710,179.800,132.000,156.600,151.900,159.300,86.400,53.900,96.500,169.200,,66.000,153.600,109.800
2/1992,90.100,64.700,,75.100,145.000,71.100,78.500,274.700,102.000,146.400,75.400,100.700,88.800,130.900,76.200,45.600,142.300,68.200,70.600,89.700,54.300,68.500
3/1992,83.600,32.800,49.700,28.500,32.500,84.300,60.500,137.500,12.910,26.200,46.900,39.700,29.700,40.200,33.500,1.600,26.200,17.100,49.100,15.700,49.700,26.900
4/1992,42.900,11.900,14.400,8.500,51.000,35.400,7.000,4.900,7.810,62.300,6.400,21.700,8.200,32.800,31.400,4.200,9.400,8.200,21.100,38.800,25.200,4.000
5/1992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6/1992,14.100,11.000,8.000,2.700,6.000,2.400,15.100,24.500,0.900,3.700,9.700,25.200,1.600,0.700,2.800,0.000,2.200,0.000,3.200,0.500,1.200,0.500
7/1992,0.000,0.600,0.000,2.200,5.000,0.000,0.000,7.400,1.400,4.000,9.000,1.500,1.400,3.700,1.400,0.000,0.000,0.000,0.000,2.300,4.000,0.000
8/1992,30.000,86.700,59.800,31.100,70.000,42.000,64.600,116.700,18.000,24.200,72.100,101.600,55.500,40.900,63.400,8.200,51.500,20.200,37.200,42.200,72.500,23.400
9/1992,8.300,13.300,,0.000,0.500,0.000,27.600,3.600,0.000,0.000,13.700,4.600,2.400,0.000,0.500,0.600,0.000,0.000,18.000,0.000,20.800,8.300
10/1992,34.900,73.100,,47.500,40.500,57.500,29.100,59.900,7.800,25.200,66.400,84.000,38.800,24.000,49.200,32.300,30.300,67.000,29.400,34.400,44.500,38.300
11/1992,69.800,58.300,,27.200,89.000,99.400,73.100,201.800,19.510,31.500,45.200,38.800,57.800,72.600,61.000,23.800,55.000,32.100,79.800,29.400,66.300,93.700
12/1992,83.800,62.000,,64.900,49.000,90.400,156.300,159.800,82.410,70.500,140.000,145.700,45.100,60.700,111.100,35.500,81.600,25.800,78.600,55.100,123.700,87.100
1/1993,127.000,125.500,142.800,147.200,284.000,183.400,172.800,178.300,196.500,211.200,127.300,310.300,191.700,219.600,155.300,147.300,246.200,127.500,191.500,175.600,174.400,199.200
2/1993,83.700,73.100,54.500,67.800,123.500,29.000,64.200,81.500,27.700,80.000,47.900,49.100,36.700,88.200,18.200,15.600,62.000,21.800,79.100,100.700,67.100,57.000
3/1993,100.300,111.700,84.300,96.300,293.000,182.900,64.300,91.000,116.420,119.600,111.200,65.100,125.300,185.200,140.100,97.200,138.200,62.400,103.600,107.000,75.300,140.100
4/1993,61.400,91.100,87.900,69.500,39.000,46.900,7.000,84.200,53.900,17.600,58.100,83.600,65.300,30.800,24.600,19.400,52.500,9.300,52.300,52.500,99.800,93.500
5/1993,26.500,11.800,11.600,3.000,1.000,0.000,0.000,14.900,1.300,7.300,11.500,17.700,1.500,7.600,9.600,2.100,4.600,5.000,9.700,6.600,11.400,7.500
6/1993,1.500,3.500,4.800,0.000,0.500,16.000,15.100,8.500,0.000,2.600,2.100,18.700,1.000,2.900,0.200,0.000,1.800,0.000,3.700,1.100,0.000,7.900
7/1993,8.600,0.000,1.300,0.000,0.000,0.000,5.900,0.000,0.100,0.000,0.000,1.400,0.000,0.000,0.000,0.000,0.000,0.000,10.200,0.000,2.100,7.200
8/1993,31.800,19.800,9.200,26.300,38.700,28.600,22.000,36.200,15.600,48.700,10.600,10.400,45.300,35.100,26.900,44.600,19.300,56.900,21.900,37.900,17.000,26.700
9/1993,7.700,22.000,24.400,9.500,25.300,9.300,27.200,25.500,4.600,26.500,19.100,30.600,20.000,21.100,13.400,13.000,1.600,0.000,5.900,18.000,24.200,28.800
10/1993,41.800,103.800,68.600,113.400,34.000,94.100,75.600,37.100,61.800,60.500,56.500,53.300,23.800,73.000,66.000,50.700,108.200,46.400,65.000,69.100,67.300,72.100
11/1993,71.100,74.700,125.400,83.000,124.800,162.000,66.700,103.500,129.500,85.100,90.600,106.400,65.300,122.000,74.600,46.100,114.500,38.900,86.600,79.200,114.200,150.500
12/1993,101.100,111.600,127.400,117.400,159.500,98.100,113.600,160.800,163.400,93.100,143.900,124.200,94.200,69.800,135.700,94.200,175.100,166.400,110.300,111.500,124.200,171.500
1/1994,150.200,100.600,111.700,133.800,300.000,209.400,111.300,284.900,237.900,123.800,100.800,192.500,129.400,186.500,164.000,105.000,224.800,267.900,120.100,180.000,170.800,263.200
2/1994,183.300,154.900,169.300,105.200,308.300,133.100,169.900,423.200,209.500,213.300,114.700,102.500,126.700,149.100,148.200,120.400,168.100,214.600,110.700,183.100,112.600,174.400
3/1994,114.400,107.500,89.100,162.100,179.000,139.600,132.800,135.400,167.800,83.800,150.600,124.400,100.200,109.500,105.000,63.100,127.600,39.600,102.000,113.300,113.700,188.300
4/1994,76.500,145.200,48.200,110.200,120.800,61.300,123.000,83.000,136.900,25.000,39.500,116.100,58.100,55.400,58.100,28.100,86.300,8.700,59.200,116.200,72.400,74.800
5/1994,0.000,8.000,0.500,0.000,4.500,0.000,31.800,24.900,20.100,9.200,14.000,21.700,14.800,11.700,1.500,0.300,23.400,0.000,4.800,29.900,17.800,13.000
6/1994,3.900,0.400,,0.000,0.000,0.000,7.900,5.600,0.000,2.000,1.800,2.800,0.000,0.000,0.700,0.200,1.100,0.000,0.500,0.400,5.200,2.000
7/1994,0.000,0.000,0.000,0.000,2.700,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,1.600,0.000,1.800,0.000,0.000,0.000,0.000,0.000,0.000
8/1994,0.000,3.000,6.300,0.000,4.500,5.800,0.000,5.100,0.000,0.000,0.000,2.000,0.000,0.800,0.000,1.700,0.000,0.000,3.200,0.000,0.000,3.700
9/1994,8.300,11.900,13.400,6.500,5.500,6.100,56.100,97.600,0.000,1.700,11.000,7.400,5.200,7.100,4.500,4.100,15.100,0.000,15.100,18.300,18.600,4.500
10/1994,23.700,21.000,35.400,14.300,15.300,43.000,67.100,58.700,0.000,4.100,39.200,38.300,10.800,14.300,17.600,3.400,12.900,0.000,51.800,36.600,37.400,37.300
11/1994,39.200,72.400,59.800,51.200,38.800,76.300,114.900,62.300,67.700,93.100,64.600,74.000,39.500,69.200,51.800,19.000,108.300,56.500,74.800,52.600,44.600,92.300
12/1994,104.300,95.500,88.100,98.000,139.600,120.600,122.300,208.400,87.100,122.600,132.800,157.300,117.100,165.300,85.200,84.400,165.400,242.200,116.600,73.200,106.900,179.400
1/1995,80.500,82.400,62.300,125.800,140.200,119.700,153.100,177.900,86.100,121.900,133.300,133.700,112.900,128.900,107.800,73.600,115.400,129.800,69.500,122.700,105.200,127.300
2/1995,84.600,122.800,78.000,70.600,141.700,119.700,96.000,97.900,135.100,134.400,124.100,142.700,80.200,105.900,94.900,49.900,151.500,47.400,79.100,119.700,153.300,147.200
3/1995,128.500,131.500,97.800,100.200,150.300,124.800,142.700,152.800,216.200,119.100,79.900,110.900,138.300,134.500,94.200,90.500,120.900,102.700,101.700,124.000,135.300,159.900
4/1995,52.000,6.400,4.600,5.000,1.800,15.800,33.500,38.300,31.530,20.500,13.700,7.300,14.600,19.900,23.700,11.400,40.800,0.000,14.800,2.100,10.500,28.500
5/1995,9.200,4.300,0.200,0.000,8.400,2.100,8.500,28.200,0.110,0.000,1.200,10.000,5.700,6.100,0.800,0.300,1.100,1.600,0.000,4.100,0.500,6.200
6/1995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,1.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7/1995,5.200,0.000,0.000,0.000,0.500,0.000,6.900,0.000,0.000,0.000,0.800,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,3.400,0.000
8/1995,0.000,0.000,0.600,0.200,4.500,0.000,,12.700,0.500,6.800,1.200,1.700,4.200,7.200,5.800,0.000,2.600,0.000,0.000,3.000,0.000,0.000
9/1995,8.400,9.000,5.100,16.600,18.200,2.500,20.700,24.100,8.710,16.900,17.000,38.200,9.600,17.800,19.700,3.600,14.800,14.800,10.700,21.900,5.200,50.500
10/1995,14.400,19.500,33.100,9.900,15.900,27.000,34.000,42.600,16.700,1.000,14.700,28.600,11.200,26.700,18.700,2.500,15.100,4.400,16.800,15.300,15.500,84.800
11/1995,40.600,80.300,90.000,32.800,40.700,56.700,53.300,82.100,49.100,43.100,69.500,76.500,47.500,71.600,55.300,21.600,64.200,12.500,65.800,50.300,67.600,144.600
12/1995,78.900,129.600,88.400,55.300,133.000,123.800,97.900,95.200,67.800,186.300,67.200,148.900,113.400,117.200,61.800,53.400,142.800,89.700,96.200,80.200,89.400,106.300
1/1996,132.200,155.700,142.500,206.300,244.900,162.200,127.200,162.600,198.300,218.600,200.900,266.500,245.600,195.500,196.000,177.000,254.500,162.200,141.500,252.700,118.600,190.000
2/1996,98.600,38.700,67.900,102.800,111.300,112.000,87.000,134.600,177.200,75.300,80.900,88.100,141.100,127.000,101.600,88.200,164.200,75.400,62.800,130.500,66.800,188.200
3/1996,56.200,85.800,121.900,56.400,47.100,97.800,111.200,122.900,92.700,69.300,71.100,78.100,33.900,137.700,108.400,29.000,73.500,41.700,94.600,60.800,113.500,150.100
4/1996,28.600,9.300,15.700,37.700,34.500,61.900,65.200,51.700,49.900,27.300,17.500,40.500,31.500,32.300,23.600,19.500,73.000,25.800,21.400,76.300,37.300,56.700
5/1996,19.000,13.000,15.000,1.900,14.900,1.400,32.500,36.300,13.700,5.000,2.300,5.100,2.000,18.800,16.500,13.600,21.500,3.400,10.800,0.000,29.600,9.800
6/1996,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7/1996,0.500,5.000,2.000,2.000,4.400,3.400,,0.000,0.000,0.500,7.600,7.600,7.200,9.100,1.800,0.000,27.900,0.000,1.400,2.900,0.900,10.700
8/1996,31.400,4.700,3.100,17.600,25.500,5.000,27.700,19.700,11.060,58.300,3.500,4.300,30.500,38.000,2.500,14.200,18.800,23.400,3.000,12.800,6.900,12.900
9/1996,17.000,22.500,11.200,10.300,5.600,6.600,29.800,14.000,0.420,20.200,13.100,23.300,11.500,4.500,22.100,0.000,18.800,0.000,4.600,0.800,20.800,21.200
10/1996,27.900,40.600,35.200,14.300,22.000,9.600,52.200,26.400,4.130,12.700,9.800,18.100,9.500,26.600,13.500,1.000,3.000,5.200,33.000,10.400,19.900,74.500
11/1996,62.500,46.200,59.500,57.800,70.400,57.100,88.300,103.900,14.060,67.900,70.000,86.200,83.200,77.200,74.100,34.100,93.200,44.600,50.900,88.300,131.600,110.900
12/1996,23.300,93.100,64.000,165.600,88.800,98.500,130.500,76.700,121.310,65.400,177.400,169.200,86.300,101.600,149.300,102.300,228.300,,125.400,118.000,95.700,180.400
1/1997,144.700,193.200,150.400,158.500,255.300,205.100,160.700,205.300,170.200,233.700,171.800,262.000,288.000,264.100,149.400,241.700,220.100,226.400,189.800,239.600,215.200,280.500
2/1997,100.000,129.900,151.300,238.300,217.400,204.300,163.400,331.800,165.110,260.900,110.800,159.400,190.800,220.800,177.800,183.500,185.500,201.400,135.800,213.200,90.500,162.600
3/1997,114.800,141.800,139.100,160.000,132.200,192.700,144.900,197.800,65.110,85.700,183.400,185.300,122.900,162.300,147.100,60.900,100.300,96.400,196.900,98.600,201.900,244.900
4/1997,37.900,55.400,30.100,75.100,79.400,63.300,78.800,42.600,25.350,47.300,83.400,85.000,60.700,66.100,68.900,13.300,55.400,24.100,48.000,88.600,96.800,60.200
5/1997,9.100,2.500,7.800,3.700,2.500,4.000,11.500,16.100,4.850,13.700,15.500,9.000,1.400,11.100,3.900,5.000,9.100,0.000,12.600,0.900,4.200,5.800
6/1997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7/1997,1.400,0.000,0.000,0.000,0.000,0.000,7.900,0.000,0.010,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,1.100,0.000
8/1997,14.400,18.700,13.100,,22.900,16.500,24.600,13.900,21.520,,15.800,24.900,61.700,64.000,19.000,32.200,26.600,41.400,13.600,21.900,21.400,21.900
9/1997,18.100,36.800,32.100,46.500,59.300,31.000,41.000,14.600,24.130,63.200,40.600,78.300,96.100,79.700,42.900,41.800,37.900,32.300,17.000,108.200,22.900,70.800
10/1997,23.400,31.800,36.900,38.000,35.600,35.400,57.100,42.400,0.530,11.200,41.100,40.300,27.100,36.200,39.900,8.000,33.600,8.100,49.000,30.100,42.400,63.100
11/1997,48.600,107.000,134.600,103.300,103.100,111.600,79.500,94.500,48.640,65.500,85.000,145.700,91.700,79.200,113.200,63.100,96.900,57.600,110.700,62.900,112.800,164.700
12/1997,110.300,78.900,100.500,88.400,38.000,121.700,55.900,31.300,41.430,26.400,51.700,108.800,50.200,54.000,95.600,81.500,103.700,31.600,60.200,44.900,59.900,158.900
1/1998,77.000,56.600,95.000,151.800,102.200,128.700,82.600,37.300,159.310,94.700,109.300,110.100,97.300,132.400,105.000,126.800,154.600,96.000,100.200,196.400,125.600,145.600
2/1998,102.700,107.600,71.400,168.400,124.500,131.500,184.500,93.400,69.800,165.100,69.400,92.700,112.600,77.300,154.400,44.200,159.800,96.000,72.200,115.500,105.700,25.600
3/1998,77.500,131.600,77.200,110.300,136.400,151.400,119.100,157.200,93.130,72.000,87.500,144.600,54.700,150.600,104.000,77.000,103.400,29.900,52.800,135.300,92.800,134.600
4/1998,35.000,59.000,24.600,16.900,36.200,22.500,81.200,67.100,16.700,57.700,52.900,38.400,59.900,62.000,25.800,14.200,29.700,9.700,17.500,25.400,32.900,33.300
5/1998,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6/1998,6.200,4.300,10.500,0.000,8.200,2.000,12.000,4.400,11.400,42.400,5.700,11.300,13.000,13.600,2.000,18.600,0.900,34.700,7.700,4.900,12.000,2.600
7/1998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8/1998,0.500,1.400,0.000,5.500,0.000,2.000,8.100,0.700,2.620,0.000,0.500,2.300,0.100,0.000,0.000,0.600,0.000,0.000,1.200,4.300,1.600,5.000
9/1998,8.900,0.900,11.000,0.000,1.800,8.800,5.000,2.300,1.700,3.400,4.200,3.800,4.600,12.300,0.200,0.400,0.000,0.000,2.200,4.500,0.500,9.100
10/1998,120.800,42.700,58.000,11.800,12.400,72.600,70.900,119.900,20.530,32.700,65.200,39.700,41.000,75.400,44.900,11.600,31.800,2.200,103.700,26.900,66.900,127.500
11/1998,83.000,72.600,76.300,12.600,57.400,107.300,111.000,101.700,39.700,67.200,141.800,85.000,47.100,66.000,69.900,38.100,88.100,53.900,88.700,43.900,89.400,114.100
12/1998,46.500,34.400,17.600,11.100,12.100,50.900,41.400,37.600,53.210,25.800,35.600,20.200,41.100,51.300,62.100,20.800,45.000,0.000,32.600,58.000,24.600,46.600
1/1999,136.900,92.900,99.800,95.000,184.800,114.100,125.700,141.000,83.110,212.000,88.800,104.800,107.100,158.700,152.700,139.600,153.500,90.900,108.300,193.700,104.100,138.500
2/1999,103.900,91.900,68.000,116.900,229.000,162.600,122.700,120.000,201.200,225.700,65.900,63.300,153.800,278.200,97.800,177.500,163.900,177.800,125.600,244.500,68.900,164.900
3/1999,103.600,119.000,134.600,112.300,236.100,139.900,160.800,171.700,172.900,248.800,151.800,255.400,223.400,309.800,143.400,212.800,204.900,151.400,136.600,202.000,162.300,276.000
4/1999,46.700,83.600,52.000,104.400,91.500,146.800,47.600,67.300,44.430,109.500,72.400,62.300,89.700,61.500,123.000,64.200,116.100,65.100,37.800,86.000,25.600,65.200
5/1999,12.600,5.700,3.500,5.400,0.900,9.800,10.000,31.700,6.200,10.900,14.700,4.700,14.900,28.400,5.300,1.600,19.300,3.400,0.500,7.500,19.800,10.300
6/1999,1.400,3.600,1.000,0.000,0.000,0.000,4.900,0.800,0.010,0.900,0.500,0.500,0.600,2.200,1.800,0.000,1.100,0.000,0.000,0.000,0.000,0.000
7/1999,2.900,0.000,0.000,1.800,0.000,1.400,3.400,0.500,0.040,1.100,2.100,0.400,1.500,3.100,0.000,0.000,0.800,0.000,0.000,1.500,0.700,0.000
8/1999,1.500,0.000,0.500,1.800,0.000,1.700,0.000,0.000,7.100,0.000,1.700,0.800,3.900,1.900,0.800,0.000,1.900,0.000,0.000,1.900,0.000,0.000
9/1999,40.700,42.300,30.600,21.900,42.900,20.300,60.700,55.700,2.850,15.200,45.700,47.800,21.000,58.100,32.700,8.400,13.500,23.600,16.600,16.100,45.100,26.600
10/1999,41.700,72.200,69.300,104.000,76.400,58.100,63.700,44.900,72.220,86.500,61.700,108.200,123.300,130.300,105.500,35.200,118.300,22.200,35.800,150.300,53.800,54.700
11/1999,54.700,52.300,31.800,3.000,30.600,28.000,44.100,64.400,0.030,3.100,46.200,50.100,17.900,18.500,17.600,0.000,19.500,0.000,54.300,32.000,36.400,16.400
12/1999,67.500,33.100,23.200,95.300,64.700,94.100,88.900,118.000,54.620,30.900,41.200,32.900,62.300,94.000,63.500,45.800,118.000,42.400,65.700,68.400,68.900,98.200
1/2000,93.200,187.800,132.400,134.600,157.000,183.400,144.700,111.800,173.300,202.100,85.200,143.400,269.900,275.300,173.700,179.500,202.100,208.600,126.900,167.100,158.000,187.100
2/2000,97.800,102.200,114.000,221.900,145.000,180.600,115.900,61.100,129.000,140.700,55.900,94.300,161.100,236.300,113.500,135.800,258.800,99.400,114.100,210.000,131.400,139.600
3/2000,95.400,68.000,51.300,133.300,169.100,120.700,64.800,67.100,59.600,72.300,113.800,110.600,135.600,138.400,130.300,64.100,181.600,95.800,105.100,150.100,93.700,108.000
4/2000,23.700,2.900,8.400,31.700,9.500,14.400,26.500,4.100,10.210,0.500,7.100,19.000,14.400,16.700,52.700,22.900,23.300,6.200,9.600,40.300,13.100,19.000
5/2000,7.100,15.600,2.900,0.600,20.000,17.300,10.700,7.400,12.530,0.000,12.100,9.700,4.900,10.900,7.100,6.400,9.400,1.500,1.400,0.400,1.700,3.200
6/2000,18.100,15.600,7.900,0.000,0.000,6.500,19.600,9.200,4.320,9.400,7.300,10.600,4.400,14.300,6.200,1.200,3.900,0.700,1.200,2.300,27.400,5.900
7/2000,4.100,1.600,0.500,0.000,1.000,7.000,5.400,5.000,0.000,0.000,0.500,0.000,9.300,0.600,0.000,0.000,0.400,0.000,1.600,4.200,0.000,2.800
8/2000,12.700,27.500,38.800,6.900,35.200,5.300,40.300,5.900,1.690,2.900,21.400,39.200,6.400,17.000,7.400,1.200,7.700,9.600,2.400,17.900,11.000,7.100
9/2000,20.400,6.400,0.700,15.800,10.700,6.900,28.500,10.700,0.230,4.800,10.500,9.500,3.200,1.200,14.500,0.600,5.100,2.000,17.000,14.600,12.200,10.500
10/2000,75.000,93.900,79.800,118.300,84.100,96.000,115.600,87.500,41.330,55.200,97.800,114.500,51.500,62.200,57.100,28.300,89.700,24.600,108.000,95.800,112.300,180.200
11/2000,26.100,11.400,25.600,13.500,0.000,17.400,22.900,26.800,10.030,63.500,14.700,24.800,1.000,1.900,9.900,7.900,9.900,0.000,17.600,13.900,25.000,24.600
12/2000,112.500,89.900,65.300,110.400,68.800,139.100,124.700,107.200,97.220,104.900,113.500,122.700,109.800,119.500,114.200,82.200,136.100,90.200,99.600,69.000,105.000,151.500
1/2001,132.700,210.000,195.400,273.900,214.100,238.600,164.600,170.300,226.000,340.000,205.100,424.100,298.900,324.000,249.700,267.500,299.000,317.300,151.800,248.700,206.300,242.800
2/2001,46.200,209.400,94.800,224.600,172.700,127.300,58.500,65.100,185.000,278.200,142.200,184.900,231.800,251.900,188.300,184.100,248.100,226.500,111.000,214.600,134.200,163.700
3/2001,86.400,129.400,168.000,78.200,219.400,126.900,232.700,135.400,100.610,136.900,159.700,181.900,162.200,239.600,114.600,116.300,149.300,92.100,132.400,224.100,210.100,125.800
4/2001,49.900,57.900,15.900,63.900,75.400,25.100,29.800,27.100,50.120,17.500,13.800,40.600,44.100,57.400,29.500,33.600,81.200,16.500,30.600,69.800,46.500,28.900
5/2001,62.600,27.000,19.900,11.500,9.000,19.300,37.600,17.600,6.560,3.200,21.700,26.500,2.500,7.900,10.600,4.800,19.500,0.000,21.400,12.200,34.800,34.900
6/2001,0.500,3.200,0.000,0.800,2.600,1.200,6.800,0.000,0.730,7.500,3.500,5.100,0.100,1.900,2.900,0.600,2.900,4.600,0.000,2.200,3.000,0.000
7/2001,13.200,9.200,4.400,0.400,12.200,4.700,19.200,16.100,0.000,13.900,6.200,20.300,15.000,12.700,2.200,0.000,3.700,0.400,5.500,0.000,3.100,8.800
8/2001,13.600,9.000,8.000,52.600,31.000,7.500,33.000,11.300,5.420,20.700,10.900,14.500,23.900,30.900,8.100,6.400,16.100,5.600,0.000,12.500,9.800,5.200
9/2001,11.900,9.600,16.600,36.900,29.000,10.800,42.200,21.300,0.550,28.700,9.100,8.000,12.200,18.800,4.000,0.200,14.100,1.800,14.200,27.100,25.800,15.500
10/2001,50.200,75.700,44.900,71.300,73.300,40.400,82.100,87.100,13.850,28.600,92.000,75.900,58.000,67.700,57.500,13.800,39.700,10.700,59.400,68.400,70.600,37.900
